|      Country       | Political Score | Economic Score | Social Score | Cultural Score |  Environmental Score  |  ICS  |
| Costa Rica         |              70 |             65 |           75 |             65 |                    40 |  63.5 |
| Croatia            |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Cuba               |              40 |             35 |           60 |             55 |                    35 |  47.0 |
| Cyprus             |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Czech Republic     |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Denmark            |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Djibouti           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Dominica           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Dominican Republic |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| East Timor         |              50 |             45 |           65 |             60 |                    35 |  50.5 |
| Ecuador            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Egypt              |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| El Salvador        |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Equatorial Guinea  |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Eritrea            |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Estonia            |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Eswatini/Swaziland |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Ethiopia           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Fiji               |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Finland            |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| France             |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Gabon              |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Gambia             |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Georgia            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Germany            |              90 |             85 |           95 |             80 |                    45 |  75.5 |
| Ghana              |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Greece             |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Grenada            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Guatemala          |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Guinea             |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Guinea-Bissau      |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Guyana             |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Haiti              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Honduras           |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Hungary            |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Iceland            |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| India              |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Indonesia          |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Iran               |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Iraq               |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Ireland            |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Israel             |              70 |             65 |           75 |             65 |                    40 |  63.5 |
| Italy              |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Jamaica            |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Japan              |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Jordan             |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Kazakhstan         |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Kenya              |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Kiribati           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Korea, North       |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Korea, South       |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Kosovo             |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Kuwait             |              70 |             65 |           75 |             65 |                    40 |  63.5 |
| Kyrgyzstan         |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Laos               |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Latvia             |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Lebanon            |              40 |             35 |           60 |             55 |                    35 |  47.0 |
| Lesotho            |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Liberia            |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Libya              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Liechtenstein      |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Lithuania          |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Luxembourg         |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Madagascar         |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Malawi             |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Malaysia           |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Maldives           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Mali               |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Malta              |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Marshall Islands   |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Mauritania         |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Mauritius          |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Mexico             |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Micronesia         |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Moldova            |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Monaco             |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Mongolia           |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Montenegro         |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Morocco            |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Mozambique         |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Myanmar            |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Namibia            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Nauru              |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Nepal              |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Netherlands        |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| New Zealand        |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Nicaragua          |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Niger              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Nigeria            |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| North Macedonia    |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Norway             |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Oman               |              70 |             65 |           75 |             65 |                    40 |  63.5 |
| Pakistan           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Palau              |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Panama             |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Papua New Guinea   |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Paraguay           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Peru               |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Philippines        |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Poland             |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Portugal           |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Qatar              |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Romania            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Russia             |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Rwanda             |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Saint Kitts & Nevis|              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Saint Lucia        |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Saint Vincent      |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Samoa              |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| San Marino         |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Sao Tome & Principe|              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Saudi Arabia       |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Senegal            |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Serbia             |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Seychelles         |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Sierra Leone       |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Singapore          |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Slovakia           |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Slovenia           |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Solomon Islands    |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Somalia            |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| South Africa       |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| South Sudan        |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Spain              |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| Sri Lanka          |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Sudan              |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Suriname           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Sweden             |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Switzerland        |              95 |             90 |           95 |             80 |                    50 |  82.5 |
| Syria              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Taiwan             |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Tajikistan         |              40 |             35 |           60 |             55 |                    35 |  45.5 |
| Tanzania           |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Thailand           |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Timor-Leste        |              50 |             45 |           65 |             60 |                    35 |  50.5 |
| Togo               |              45 |             40 |           60 |             55 |                    35 |  47.0 |
| Tonga              |              60 |             55 |           70 |             60 |                    35 |  56.0 |
| Trinidad and Tobago|              70 |             65 |           80 |             65 |                    40 |  64.5 |
| Tunisia            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Turkey             |              50 |             45 |           70 |             60 |                    40 |  52.0 |
| Turkmenistan       |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Tuvalu             |              50 |             45 |           65 |             60 |                    35 |  51.0 |
| Uganda             |              45 |             40 |           65 |             60 |                    35 |  49.5 |
| Ukraine            |              50 |             45 |           70 |             60 |                    40 |  52.0 |
| UAE                |              80 |             75 |           85 |             65 |                    45 |  71.5 |
| United Kingdom     |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| United States      |              80 |             75 |           85 |             70 |                    50 |  72.0 |
| Uruguay            |              70 |             65 |           80 |             60 |                    35 |  62.0 |
| Uzbekistan         |              40 |             35 |           60 |             55 |                    35 |  45.5 |
| Vanuatu            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Venezuela          |              20 |             15 |           60 |             55 |                    30 |  35.5 |
| Vietnam            |              55 |             50 |           70 |             60 |                    35 |  54.0 |
| Yemen              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Zambia             |              50 |             45 |           65 |             60 |                    35 |  51.0 |
| Zimbabwe           |              30 |             25 |           60 |             55 |                    35 |  51.0 |
